Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
0,"('beta0_gsic.slr_brick', 0.0008888276352081448)","('h0_dais.slr_brick', 1775.6755981445312)","('P0_dais.slr_brick', 0.3157210201025009)","('S.temperature', 3.197149872779846)","('a_tee.slr_brick', 0.10471238568425179)","('a_simple.slr_brick', -3.5238791704177856)",,,,,,,
1,"('h0_dais.slr_brick', 1462.6587524414062)","('a_anto.slr_brick', 0.4326094686985016)","('a_tee.slr_brick', 0.10260238870978355)","('S.temperature', 3.555558443069458)","('a_tee.slr_brick', 0.14832919836044312)","('beta0_gsic.slr_brick', 0.0013292323565110564)","('V0_gsic.slr_brick', 0.4191956967115402)","('beta0_gsic.slr_brick', 0.0008604716858826578)","('rho.slr_gsic_obs', 0.990172415971756)","('kappa_dais.slr_brick', 0.06776507198810577)","('alpha_dais.slr_brick', 0.129361130297184)","('sigma.slr_gis_obs', 0.0002394135808572173)",
2,"('S.temperature', 2.710429072380066)","('V0_gsic.slr_brick', 0.3314236253499985)","('b_simple.slr_brick', 7.648015260696411)","('beta0_gsic.slr_brick', 0.0007294504030141979)","('a_tee.slr_brick', 0.08310677856206894)","('alpha.temperature', 1.005213737487793)","('b_anto.slr_brick', 0.04244070686399937)","('h0_dais.slr_brick', 2082.80615234375)","('offset.Tgav_obs', -0.010475774761289358)","('f0_dais.slr_brick', 0.6773267388343811)","('a_tee.slr_brick', 0.10656282678246498)","('mu_dais.slr_brick', 10.371352672576904)",
3,"('slope_dais.slr_brick', 0.0005753053119406104)","('beta0_gsic.slr_brick', 0.0007381158648058772)","('alpha.temperature', 0.9897926151752472)","('Tcrit_dais.slr_brick', -15.189013481140137)","('slope_dais.slr_brick', 0.0006820598791819066)","('b_simple.slr_brick', 7.657649040222168)","('V0_simple.slr_brick', 7.369424104690552)","('beta_simple.slr_brick', 8.447769505437464e-05)","('nu_dais.slr_brick', 0.010941051412373781)","('f0_dais.slr_brick', 1.135720670223236)","('b_simple.slr_brick', 7.88117241859436)","('diff.temperature', 2.549856185913086)","('c_dais.slr_brick', 112.00123596191406)"
4,"('sigma.slr_gsic_obs', 0.00022073423315305263)","('diff.temperature', 1.348258376121521)","('rho.slr_gis_obs', 0.9981500804424286)","('slope_dais.slr_brick', 0.0006266511627472937)","('a_simple.slr_brick', -0.8831278681755066)","('a_tee.slr_brick', 0.15761980414390564)",,,,,,,
5,"('Tcrit_dais.slr_brick', -16.28139591217041)","('a_tee.slr_brick', 0.08884202688932419)","('diff.temperature', 3.9731311798095703)",,,,,,,,,,
6,"('slope_dais.slr_brick', 0.0005890366446692497)","('alpha.temperature', 0.8938223719596863)","('a_simple.slr_brick', -0.8823550641536713)","('a_tee.slr_brick', 0.15186498314142227)","('S.temperature', 5.639082431793213)","('beta_simple.slr_brick', 0.0002951580099761486)","('f0_dais.slr_brick', 1.4622814059257507)","('b0_dais.slr_brick', 765.0082397460938)",,,,,
7,"('diff.temperature', 1.6655099391937256)","('a_anto.slr_brick', 0.28038638830184937)","('alpha.temperature', 0.9842444360256195)","('b_simple.slr_brick', 7.649296045303345)","('V0_simple.slr_brick', 7.357403993606567)","('P0_dais.slr_brick', 0.32824520766735077)","('b_simple.slr_brick', 7.470245361328125)","('sigma.slr_gis_obs', 0.000183422387635801)",,,,,
8,"('diff.temperature', 1.8531442284584045)","('a_simple.slr_brick', -1.1766237616539001)","('a_tee.slr_brick', 0.08443570882081985)","('rho.slr_gis_obs', 0.9352155327796936)","('alpha.temperature', 0.8038567900657654)","('rho.slr_gsic_obs', 0.7039231359958649)","('beta0_gsic.slr_brick', 0.0007198931998573244)","('slope_dais.slr_brick', 0.0006401498976629227)","('mu_dais.slr_brick', 12.883212566375732)",,,,
9,"('beta0_gsic.slr_brick', 0.0009444569586776197)","('a_tee.slr_brick', 0.09562881290912628)",,,,,,,,,,,
10,"('diff.temperature', 1.8084754347801208)","('beta0_gsic.slr_brick', 0.0009174255537800491)","('b_simple.slr_brick', 7.547116041183472)","('S.temperature', 4.204046249389648)","('a_simple.slr_brick', -1.267387866973877)","('beta0_gsic.slr_brick', 0.0004421247140271589)","('alpha.temperature', 1.1665722727775574)","('f0_dais.slr_brick', 1.2358048558235168)","('b0_dais.slr_brick', 758.9594116210938)","('beta_simple.slr_brick', 0.0001538357901154086)",,,
11,"('beta0_gsic.slr_brick', 0.0006711710302624851)","('beta0_gsic.slr_brick', 0.0009337985829915851)","('b_simple.slr_brick', 7.780567169189453)","('diff.temperature', 1.3127779960632324)","('diff.temperature', 3.973672866821289)","('lambda_dais.slr_brick', 0.014685952104628086)",,,,,,,
12,"('S.temperature', 2.81082820892334)","('Tcrit_dais.slr_brick', -14.425234317779541)","('mu_dais.slr_brick', 12.595454692840576)","('S.temperature', 4.202520847320557)","('a_tee.slr_brick', 0.09519615396857262)","('P0_dais.slr_brick', 0.24579057842493057)","('a_tee.slr_brick', 0.15266094356775284)",,,,,,
13,"('rho.slr_gis_obs', 0.9562192261219025)","('a_simple.slr_brick', -1.497271180152893)","('a_anto.slr_brick', 0.3928559124469757)","('alpha.temperature', 0.9806007742881775)","('offset.Tgav_obs', 0.01601506397128105)","('b_simple.slr_brick', 7.650795936584473)","('rho.slr_gsic_obs', 0.779131293296814)","('b_anto.slr_brick', 1.477425992488861)",,,,,
14,"('a_tee.slr_brick', 0.08444395288825035)","('Tcrit_dais.slr_brick', -15.662418842315674)","('beta0_gsic.slr_brick', 0.0010379342711530626)","('alpha_dais.slr_brick', 0.11387640610337257)","('a_anto.slr_brick', 0.8840962648391724)","('diff.temperature', 1.2496115565299988)","('offset.Tgav_obs', 0.027399453334510326)","('S.temperature', 4.092042684555054)","('a_tee.slr_brick', 0.1202167496085167)","('V0_simple.slr_brick', 7.336824178695679)",,,
15,"('S.temperature', 3.6725836992263794)","('b_simple.slr_brick', 7.651374578475952)","('sigma.slr_gis_obs', 0.00018084447219735011)","('n_gsic.slr_brick', 0.5984435081481934)","('beta_simple.slr_brick', 2.9061904569971375e-05)","('a_tee.slr_brick', 0.09972044825553894)","('slope_dais.slr_brick', 0.0005942265852354467)",,,,,,
16,"('b_simple.slr_brick', 7.401321172714233)","('beta0_gsic.slr_brick', 0.0008796947367954999)","('slope_dais.slr_brick', 0.0006722632388118654)","('h0_dais.slr_brick', 1464.9442138671875)","('alpha.temperature', 0.8760011196136475)","('f0_dais.slr_brick', 1.3143591284751892)","('Gs0_gsic.slr_brick', -0.002802882925607264)",,,,,,
17,"('beta0_gsic.slr_brick', 0.0008796947367954999)","('alpha.temperature', 0.8950151205062866)","('a_simple.slr_brick', -0.8023487329483032)","('a_tee.slr_brick', 0.09906614944338799)","('gamma_dais.slr_brick', 3.549448847770691)",,,,,,,,
18,"('slope_dais.slr_brick', 0.0005628131038974971)","('slope_dais.slr_brick', 0.0006989954854361713)","('a_anto.slr_brick', 0.4887792617082596)","('alpha_simple.slr_brick', 0.00020066816796315834)","('alpha.temperature', 0.9188075959682465)","('sigma.slr_gsic_obs', 0.0004031715652672574)",,,,,,,
19,"('P0_dais.slr_brick', 0.27221131324768066)","('a_tee.slr_brick', 0.08324756100773811)","('alpha.temperature', 0.9907006323337555)","('a_anto.slr_brick', 0.30672717094421387)","('beta0_gsic.slr_brick', 0.0010205716826021671)","('alpha.temperature', 0.7974488139152527)","('a_tee.slr_brick', 0.13964620977640152)","('slope_dais.slr_brick', 0.0006317702354863286)","('diff.temperature', 2.6456351280212402)",,,,
20,"('beta0_gsic.slr_brick', 0.0008084794390015304)","('b_simple.slr_brick', 7.648301362991333)","('alpha.temperature', 0.9772005081176758)","('a_simple.slr_brick', -3.4155659675598145)","('P0_dais.slr_brick', 0.16585548967123032)","('mu_dais.slr_brick', 13.298494815826416)",,,,,,,
21,"('S.temperature', 2.8479846715927124)","('S.temperature', 4.081113338470459)","('sigma.slr_gis_obs', 0.00026828693808056414)","('beta0_gsic.slr_brick', 0.0008036440412979573)","('b_simple.slr_brick', 7.0300116539001465)","('b_anto.slr_brick', 0.5584538280963898)","('alpha_simple.slr_brick', 0.00020294574642321095)","('kappa_dais.slr_brick', 0.06671461090445518)",,,,,
22,"('S.temperature', 2.8059651851654053)","('alpha.temperature', 0.9990403056144714)","('a_tee.slr_brick', 0.10311204195022583)",,,,,,,,,,
23,"('diff.temperature', 1.3315193057060242)","('P0_dais.slr_brick', 0.47199565172195435)","('Tcrit_dais.slr_brick', -16.19924259185791)","('beta0_gsic.slr_brick', 0.0008841819653753191)",,,,,,,,,
24,"('S.temperature', 3.2564836740493774)","('P0_dais.slr_brick', 0.22474605590105057)",,,,,,,,,,,
25,"('diff.temperature', 1.6295125484466553)","('Tcrit_dais.slr_brick', -16.1987247467041)","('a_tee.slr_brick', 0.08444395288825035)","('diff.temperature', 3.7463384866714478)","('b0_dais.slr_brick', 742.3524780273438)","('mu_dais.slr_brick', 13.547423839569092)","('a_anto.slr_brick', 0.28038638830184937)","('alpha.temperature', 0.8731308579444885)","('sigma.slr_gsic_obs', 7.169039963628165e-05)","('alpha_simple.slr_brick', 0.0002446994840283878)","('a_simple.slr_brick', -1.8533524870872498)",,
26,"('S.temperature', 2.8117083311080933)","('a_tee.slr_brick', 0.1212807185947895)","('P0_dais.slr_brick', 0.22475821524858475)","('rho.slr_gis_obs', 0.9458950161933899)","('kappa_dais.slr_brick', 0.04976768419146538)","('beta_simple.slr_brick', 0.00021357653895393014)","('slope_dais.slr_brick', 0.0007106634438969195)",,,,,,
27,"('rho.slr_gsic_obs', 0.6318683326244354)","('alpha.temperature', 0.987216055393219)","('P0_dais.slr_brick', 0.2583919167518616)","('a_tee.slr_brick', 0.09637333080172539)",,,,,,,,,
28,"('diff.temperature', 1.7701042294502258)","('alpha.temperature', 0.9842026233673096)","('a_tee.slr_brick', 0.09505657106637955)","('rho.Tgav_obs', 0.43892621994018555)","('nu_dais.slr_brick', 0.014345935080200434)","('a_tee.slr_brick', 0.07506639510393143)","('kappa_dais.slr_brick', 0.07736067846417427)","('n_gsic.slr_brick', 0.9226793646812439)",,,,,
29,"('alpha_dais.slr_brick', 0.5308648943901062)","('P0_dais.slr_brick', 0.3191683292388916)","('a_tee.slr_brick', 0.10429591685533524)","('slope_dais.slr_brick', 0.000600211467826739)","('lambda_dais.slr_brick', 0.017539897933602333)",,,,,,,,
30,"('beta0_gsic.slr_brick', 0.0007294186507351696)","('P0_dais.slr_brick', 0.3191205710172653)","('b_simple.slr_brick', 7.574044227600098)","('Tcrit_dais.slr_brick', -16.19924259185791)","('S.temperature', 3.8967506885528564)","('a_tee.slr_brick', 0.08742539212107658)","('beta0_gsic.slr_brick', 0.0008918695093598217)","('gamma_dais.slr_brick', 3.7151111364364624)","('sigma.Tgav_obs', 0.06901026144623756)","('slope_dais.slr_brick', 0.0005812539311591536)","('a_tee.slr_brick', 0.102306317538023)","('b0_dais.slr_brick', 780.2784118652344)",
31,"('alpha_simple.slr_brick', 0.0003443684836383909)","('beta_simple.slr_brick', 0.00021362077677622437)","('S.temperature', 2.8401999473571777)","('alpha_simple.slr_brick', 0.00026246219931636006)","('a_tee.slr_brick', 0.12031260132789612)",,,,,,,,
32,"('S.temperature', 3.25713312625885)",,,,,,,,,,,,
33,"('S.temperature', 3.247749447822571)","('gamma_dais.slr_brick', 4.075224876403809)","('b_simple.slr_brick', 7.434115886688232)","('a_tee.slr_brick', 0.14090237021446228)","('b_anto.slr_brick', 1.0588456392288208)",,,,,,,,
34,"('a_anto.slr_brick', 0.5573529005050659)","('b0_dais.slr_brick', 748.3053283691406)","('beta0_gsic.slr_brick', 0.0007145004638005048)","('h0_dais.slr_brick', 1385.004150390625)","('lambda_dais.slr_brick', 0.022184692323207855)","('S.temperature', 2.79630184173584)","('a_tee.slr_brick', 0.13758712261915207)","('a_tee.slr_brick', 0.094656091183424)","('diff.temperature', 3.45990526676178)",,,,
35,"('beta_simple.slr_brick', 0.0008713573624845594)","('beta0_gsic.slr_brick', 0.0009004141029436141)","('beta0_gsic.slr_brick', 0.0006979840982239693)","('S.temperature', 3.945613741874695)","('b_simple.slr_brick', 7.618621110916138)","('rho.Tgav_obs', 0.4981556683778763)","('alpha.temperature', 1.2228339314460754)",,,,,,
36,"('beta0_gsic.slr_brick', 0.0008114617376122624)","('alpha.temperature', 1.0020148158073425)","('alpha.temperature', 1.1653926372528076)","('rho.slr_gis_obs', 0.9265738427639008)","('mu_dais.slr_brick', 7.907571792602539)","('alpha_simple.slr_brick', 0.0002821947418851778)","('rho.slr_gis_obs', 0.8695971071720123)","('slope_dais.slr_brick', 0.0005763368390034884)","('b_anto.slr_brick', 0.6309470236301422)","('b0_dais.slr_brick', 771.6776733398438)","('sigma.slr_gis_obs', 0.00024121036403812468)","('rho.slr_gsic_obs', 0.9608578085899353)",
37,"('b_simple.slr_brick', 7.543076038360596)","('slope_dais.slr_brick', 0.0005624876939691603)","('S.temperature', 2.7306361198425293)","('alpha.temperature', 1.0051416158676147)","('a_tee.slr_brick', 0.08442138135433197)","('alpha.temperature', 1.1598374247550964)","('Tcrit_dais.slr_brick', -15.036213874816895)","('V0_gsic.slr_brick', 0.31857502460479736)","('offset.Tgav_obs', 0.014250502455979586)","('mu_dais.slr_brick', 12.604891300201416)","('gamma_dais.slr_brick', 2.754472851753235)","('beta0_gsic.slr_brick', 0.0007358276343438774)",
38,"('n_gsic.slr_brick', 0.9666020572185516)","('a_anto.slr_brick', 0.5730331838130951)","('slope_dais.slr_brick', 0.000599107937887311)","('sigma.Tgav_obs', 0.09396722167730331)","('S.temperature', 2.7955342531204224)","('rho.Tgav_obs', 0.5730990469455719)","('a_tee.slr_brick', 0.10260238870978355)","('a_tee.slr_brick', 0.09033508971333504)","('rho.slr_gis_obs', 0.9486873149871826)","('h0_dais.slr_brick', 1649.494384765625)",,,
39,"('slope_dais.slr_brick', 0.0005740730848629028)","('alpha_dais.slr_brick', 0.06717700138688087)","('alpha.temperature', 0.9700764417648315)","('V0_simple.slr_brick', 7.207326889038086)","('a_simple.slr_brick', -1.9797468781471252)",,,,,,,,
40,"('alpha.temperature', 0.9409208297729492)","('beta0_gsic.slr_brick', 0.0008627286006230861)","('f0_dais.slr_brick', 0.9715193808078766)",,,,,,,,,,
41,"('diff.temperature', 0.9262615442276001)","('alpha.temperature', 0.9844864308834076)","('b_simple.slr_brick', 7.574355363845825)","('diff.temperature', 2.2436394691467285)","('sigma.slr_gsic_obs', 1.104937700802111e-05)","('alpha_dais.slr_brick', 0.07715875282883644)","('slope_dais.slr_brick', 0.0005756892787758261)","('a_tee.slr_brick', 0.09708485379815102)",,,,,
42,"('slope_dais.slr_brick', 0.0005989391356706619)","('beta0_gsic.slr_brick', 0.001041971321683377)","('alpha.temperature', 0.9906017780303955)","('alpha.temperature', 1.1621020436286926)","('Tcrit_dais.slr_brick', -15.039873600006104)","('mu_dais.slr_brick', 12.933979511260986)",,,,,,,
43,"('slope_dais.slr_brick', 0.0005688800301868469)","('S.temperature', 3.25713312625885)","('Tcrit_dais.slr_brick', -16.078393936157227)","('sigma.slr_gsic_obs', 0.000199943759071175)","('beta0_gsic.slr_brick', 0.0007750191143713892)",,,,,,,,
44,"('b_simple.slr_brick', 7.458641290664673)","('rho.slr_gsic_obs', 0.9604266583919525)","('beta0_gsic.slr_brick', 0.0008887046133168042)","('slope_dais.slr_brick', 0.0006290740566328168)","('P0_dais.slr_brick', 1.398901343345642)","('S.temperature', 2.954117774963379)","('nu_dais.slr_brick', 0.007859823293983936)","('h0_dais.slr_brick', 1428.2948608398438)","('rho.slr_gis_obs', 0.9921571612358093)","('slope_dais.slr_brick', 0.0007028358231764287)","('a_anto.slr_brick', 0.6139803230762482)","('a_tee.slr_brick', 0.15305843949317932)",
45,"('mu_dais.slr_brick', 11.33735990524292)","('diff.temperature', 1.7750245928764343)","('alpha.temperature', 0.9903438091278076)","('slope_dais.slr_brick', 0.000573173543671146)","('alpha.temperature', 1.152285635471344)","('sigma.Tgav_obs', 0.08183187618851662)","('P0_dais.slr_brick', 0.767779529094696)","('h0_dais.slr_brick', 1948.7268676757812)",,,,,
46,"('alpha.temperature', 0.7355318963527679)","('c_dais.slr_brick', 122.61297988891602)","('a_tee.slr_brick', 0.10981513187289238)","('alpha.temperature', 0.989782065153122)","('b0_dais.slr_brick', 744.7085571289062)","('Tcrit_dais.slr_brick', -14.683838367462158)",,,,,,,
47,"('a_simple.slr_brick', -0.8028918504714966)","('beta0_gsic.slr_brick', 0.0008661959727760404)","('diff.temperature', 1.1844531893730164)","('S.temperature', 4.1924049854278564)","('alpha.temperature', 1.2092338800430298)","('a_simple.slr_brick', -1.0424014329910278)","('gamma_dais.slr_brick', 2.301606059074402)","('a_tee.slr_brick', 0.0745101310312748)",,,,,
48,"('slope_dais.slr_brick', 0.0005687417869921774)","('f0_dais.slr_brick', 1.2278115153312683)","('a_simple.slr_brick', -1.557440459728241)","('nu_dais.slr_brick', 0.009005843196064234)","('diff.temperature', 2.8313905000686646)",,,,,,,,
49,"('S.temperature', 2.8646751642227173)","('S.temperature', 4.022605657577515)","('b_simple.slr_brick', 7.733954191207886)","('alpha_simple.slr_brick', 0.0008698697783984244)","('sigma.slr_gis_obs', 0.00020612433581845835)","('c_dais.slr_brick', 61.77781867980957)","('rho.Tgav_obs', 0.35652485489845276)",,,,,,
50,"('S.temperature', 3.1357754468917847)","('a_tee.slr_brick', 0.10232708230614662)","('beta0_gsic.slr_brick', 0.0008027905423659831)","('a_tee.slr_brick', 0.13811741769313812)","('h0_dais.slr_brick', 1987.4122314453125)","('alpha_simple.slr_brick', 0.00019752354273805395)","('b_anto.slr_brick', 1.2869951725006104)","('slope_dais.slr_brick', 0.0006884254980832338)",,,,,
51,"('Tcrit_dais.slr_brick', -16.198111534118652)","('S.temperature', 2.7299551963806152)","('a_tee.slr_brick', 0.1351982280611992)","('a_tee.slr_brick', 0.08316895738244057)","('V0_gsic.slr_brick', 0.3090065121650696)",,,,,,,,
52,"('diff.temperature', 1.6556492447853088)","('alpha_dais.slr_brick', 0.12095155194401741)","('alpha_dais.slr_brick', 0.5090146958827972)","('beta0_gsic.slr_brick', 0.0012619923218153417)","('Tcrit_dais.slr_brick', -16.031911849975586)","('lambda_dais.slr_brick', 0.00880861608311534)","('a_tee.slr_brick', 0.10654091835021973)","('P0_dais.slr_brick', 0.20583393424749374)","('b_simple.slr_brick', 7.777539014816284)","('alpha.temperature', 0.9898563027381897)",,,
53,"('alpha.temperature', 0.987216055393219)","('rho.slr_gsic_obs', 0.956552267074585)","('f0_dais.slr_brick', 0.7743068337440491)","('slope_dais.slr_brick', 0.0005908189341425896)","('h0_dais.slr_brick', 1799.842041015625)","('h0_dais.slr_brick', 1052.3186645507812)",,,,,,,
54,"('S.temperature', 3.2010676860809326)","('slope_dais.slr_brick', 0.0005604875623248518)","('h0_dais.slr_brick', 1465.2990112304688)",,,,,,,,,,
55,"('alpha.temperature', 0.9903154373168945)","('V0_gsic.slr_brick', 0.46072500944137573)","('gamma_dais.slr_brick', 4.224452018737793)","('a_tee.slr_brick', 0.1022934690117836)","('diff.temperature', 1.050936222076416)","('diff.temperature', 2.964628577232361)","('a_simple.slr_brick', -0.6597723662853241)","('sigma.slr_gsic_obs', 0.0007109497091732919)",,,,,
56,"('alpha_simple.slr_brick', 0.00020657268032664433)","('b_simple.slr_brick', 7.575006723403931)","('alpha.temperature', 0.9860416352748871)","('beta0_gsic.slr_brick', 0.000978876429144293)","('slope_dais.slr_brick', 0.0005860473611392081)","('V0_gsic.slr_brick', 0.3860235810279846)","('sigma.Tgav_obs', 0.07388700172305107)","('alpha.temperature', 1.106692373752594)","('S.temperature', 5.486130475997925)","('a_simple.slr_brick', -1.8399720788002014)",,,
57,"('P0_dais.slr_brick', 0.6784327626228333)","('S.temperature', 3.201324224472046)","('a_anto.slr_brick', 0.6633937358856201)","('rho.slr_gsic_obs', 0.9843283593654633)",,,,,,,,,
58,"('beta0_gsic.slr_brick', 0.000879696337506175)","('S.temperature', 3.2605597972869873)","('slope_dais.slr_brick', 0.0005627424397971481)","('rho.Tgav_obs', 0.5545291006565094)","('b_simple.slr_brick', 7.5437963008880615)","('sigma.slr_gis_obs', 0.00016014985885703936)","('alpha.temperature', 1.0020254254341125)","('a_tee.slr_brick', 0.09466810151934624)","('sigma.slr_gis_obs', 0.0002000946697080508)","('n_gsic.slr_brick', 0.8386210203170776)","('kappa_dais.slr_brick', 0.05164897255599499)",,
59,"('slope_dais.slr_brick', 0.0006261742091737688)","('nu_dais.slr_brick', 0.00973509019240737)","('alpha.temperature', 1.0104930996894836)",,,,,,,,,,
60,"('a_simple.slr_brick', -0.8820203542709351)","('a_anto.slr_brick', 0.5423081517219543)","('n_gsic.slr_brick', 0.6808488965034485)","('diff.temperature', 1.4430401921272278)","('a_tee.slr_brick', 0.10238846763968468)","('a_tee.slr_brick', 0.15889345109462738)","('diff.temperature', 2.860463261604309)","('offset.Tgav_obs', 0.00547634600661695)","('beta0_gsic.slr_brick', 0.0009633702284190804)","('f0_dais.slr_brick', 0.8419992327690125)",,,
61,"('alpha.temperature', 0.7965364456176758)","('alpha_dais.slr_brick', 0.07854122295975685)","('beta0_gsic.slr_brick', 0.0009040463482961059)","('a_tee.slr_brick', 0.09921248629689217)","('b_simple.slr_brick', 7.458589315414429)","('S.temperature', 3.6483465433120728)","('S.temperature', 6.3472535610198975)","('b_simple.slr_brick', 7.516820907592773)","('diff.temperature', 3.686306118965149)",,,,
62,"('S.temperature', 2.8646737337112427)","('a_tee.slr_brick', 0.09506236389279366)","('b_simple.slr_brick', 7.401321172714233)","('rho.Tgav_obs', 0.5523038506507874)","('alpha_dais.slr_brick', 0.10509371012449265)","('rho.slr_gsic_obs', 0.9842402040958405)","('S.temperature', 4.139078855514526)","('P0_dais.slr_brick', 0.2405296117067337)","('S.temperature', 4.274436712265015)",,,,
63,"('beta0_gsic.slr_brick', 0.000783347146352753)","('offset.Tgav_obs', -0.009467565454542637)","('beta0_gsic.slr_brick', 0.0018545767525210977)","('alpha.temperature', 1.016107439994812)","('n_gsic.slr_brick', 0.6476157307624817)","('slope_dais.slr_brick', 0.0005722669884562492)","('a_tee.slr_brick', 0.10939155519008636)","('S.temperature', 4.2394890785217285)","('n_gsic.slr_brick', 0.7090863585472107)","('mu_dais.slr_brick', 9.11980390548706)",,,
64,"('a_tee.slr_brick', 0.08444395288825035)","('b_simple.slr_brick', 7.40193247795105)","('slope_dais.slr_brick', 0.0006268236902542412)","('alpha.temperature', 0.9699229896068573)","('beta0_gsic.slr_brick', 0.0010929363197647035)","('b_anto.slr_brick', 1.8188719153404236)","('sigma.slr_gsic_obs', 0.00035178911639377475)","('S.temperature', 5.132291316986084)","('a_tee.slr_brick', 0.1041686125099659)",,,,
65,"('alpha.temperature', 1.0009978413581848)","('slope_dais.slr_brick', 0.0005688524397555739)","('beta0_gsic.slr_brick', 0.0007296621333807707)",,,,,,,,,,
66,"('b_simple.slr_brick', 7.576145648956299)","('slope_dais.slr_brick', 0.00056251953355968)","('beta0_gsic.slr_brick', 0.0009283113176934421)","('rho.slr_gis_obs', 0.9801037609577179)","('diff.temperature', 1.3220993876457214)","('beta0_gsic.slr_brick', 0.0006513056578114629)","('alpha.temperature', 0.9877306818962097)","('mu_dais.slr_brick', 7.9320313930511475)","('beta_simple.slr_brick', 9.399034752277657e-06)","('kappa_dais.slr_brick', 0.07510236650705338)","('a_tee.slr_brick', 0.09903770685195923)","('Tcrit_dais.slr_brick', -15.095565795898438)",
67,"('beta0_gsic.slr_brick', 0.0007294441456906497)","('slope_dais.slr_brick', 0.000631293747574091)","('V0_simple.slr_brick', 7.1995110511779785)",,,,,,,,,,
68,"('diff.temperature', 1.3220993876457214)","('beta0_gsic.slr_brick', 0.0008565708412788808)","('P0_dais.slr_brick', 0.2793193757534027)","('kappa_dais.slr_brick', 0.03386654891073704)","('a_tee.slr_brick', 0.13402249664068222)","('c_dais.slr_brick', 105.86776733398438)","('alpha.temperature', 0.8954524099826813)",,,,,,
69,"('alpha_dais.slr_brick', 0.07929704338312149)","('a_tee.slr_brick', 0.08311814069747925)","('mu_dais.slr_brick', 11.156257629394531)","('beta0_gsic.slr_brick', 0.001093891158234328)","('a_tee.slr_brick', 0.13582614809274673)","('alpha.temperature', 0.941123753786087)","('offset.Tgav_obs', -0.026139630936086178)","('b_simple.slr_brick', 7.829257488250732)","('Tcrit_dais.slr_brick', -14.918232917785645)","('rho.slr_gsic_obs', 0.6828295290470123)","('sigma.Tgav_obs', 0.08052099496126175)","('alpha.temperature', 1.1287890672683716)",
70,"('P0_dais.slr_brick', 0.28126730024814606)","('b0_dais.slr_brick', 815.8432312011719)","('b_simple.slr_brick', 7.681101560592651)","('S.temperature', 3.1019123792648315)","('slope_dais.slr_brick', 0.0005679411406163126)","('nu_dais.slr_brick', 0.011971010826528072)","('a_anto.slr_brick', 0.11742774397134781)","('P0_dais.slr_brick', 0.13079526275396347)",,,,,
71,"('a_tee.slr_brick', 0.10040879622101784)","('Tcrit_dais.slr_brick', -16.20162010192871)","('alpha.temperature', 0.9860412776470184)","('P0_dais.slr_brick', 0.20035461336374283)","('a_tee.slr_brick', 0.13514573872089386)","('b_simple.slr_brick', 7.458919048309326)","('rho.Tgav_obs', 0.3025730848312378)","('mu_dais.slr_brick', 13.51665210723877)","('S.temperature', 3.706630825996399)","('diff.temperature', 2.8415056467056274)","('rho.slr_gsic_obs', 0.9832867681980133)",,
72,"('alpha.temperature', 0.987216055393219)","('a_tee.slr_brick', 0.09505657106637955)","('b_simple.slr_brick', 7.742187261581421)","('mu_dais.slr_brick', 7.4924156665802)","('a_tee.slr_brick', 0.0827944241464138)","('nu_dais.slr_brick', 0.003933502710424364)",,,,,,,
73,"('beta0_gsic.slr_brick', 0.0008541920105926692)","('alpha.temperature', 0.88570836186409)","('b_simple.slr_brick', 7.661592245101929)","('a_tee.slr_brick', 0.10060599446296692)","('mu_dais.slr_brick', 11.18963623046875)","('b_anto.slr_brick', 1.21673983335495)",,,,,,,
74,"('alpha.temperature', 0.9844066500663757)","('a_tee.slr_brick', 0.09921248629689217)","('P0_dais.slr_brick', 0.49397845566272736)","('kappa_dais.slr_brick', 0.03260442987084389)","('b_simple.slr_brick', 7.579618692398071)","('S.temperature', 3.7163482904434204)","('alpha_simple.slr_brick', 0.0006968882225919515)","('a_simple.slr_brick', -1.1863633394241333)","('slope_dais.slr_brick', 0.0006023926544003189)",,,,
75,"('b_simple.slr_brick', 7.57090425491333)","('diff.temperature', 1.8227988481521606)","('P0_dais.slr_brick', 0.20093194395303726)","('h0_dais.slr_brick', 2099.413818359375)","('a_tee.slr_brick', 0.08335530012845993)","('a_anto.slr_brick', 0.39030177891254425)","('rho.slr_gis_obs', 0.9621850252151489)","('beta0_gsic.slr_brick', 0.001362941286060959)","('alpha.temperature', 0.9765616655349731)","('a_simple.slr_brick', -1.4262065291404724)","('a_tee.slr_brick', 0.09874926507472992)",,
76,"('S.temperature', 2.8646737337112427)","('f0_dais.slr_brick', 0.9825007021427155)","('S.temperature', 4.760448455810547)","('a_simple.slr_brick', -3.711350440979004)","('rho.Tgav_obs', 0.3798217326402664)","('alpha_dais.slr_brick', 0.23645267635583878)","('h0_dais.slr_brick', 1684.2861328125)",,,,,,
